Video,Model,F1,"d(GT, O)","d(GT, f(O))","d(O, f(O))"
video-4-segment-4,Random,0.2818,0.5019,0.483,0.4735
video-4-segment-4,HRNet_V2,0.6743,0.161,0.1383,0.0606
video-4-segment-4,mask_rcnn,0.7207,0.1174,0.0303,0.0985
video-4-segment-4,GPV-1,0.7243,0.0966,0.0587,0.053
video-4-segment-4,faster_rcnn,0.7387,0.1098,0.0492,0.0795
video-4-segment-4,RAM,0.7815,0.0625,0.053,0.017
video-4-segment-4,yolo_v7,0.8589,0.0436,0.0606,0.0246
video-4-segment-4,GPT4V,0.8675,0.0417,0.0,0.0417
video-4-segment-4,LLaVa,0.875,0.0455,0.0152,0.0417
video-4-segment-4,DM-1,0.878,0.0473,0.0076,0.0436
video-4-segment-4,BLIP,0.88,0.0455,0.0019,0.0436
video-4-segment-4,DM-3,0.88,0.0455,0.0038,0.0455
video-4-segment-4,DM-2,0.8812,0.0455,0.0057,0.0473
video-4-segment-4,GT_N,1.0,0.0,0.0,0.0
video-5-segment-1,Random,0.192,0.505,0.505,0.0
video-5-segment-1,HRNet_V2,0.434,0.3,0.16,0.18
video-5-segment-1,GPV-1,0.5679,0.175,0.07,0.145
video-5-segment-1,faster_rcnn,0.7797,0.065,0.02,0.065
video-5-segment-1,mask_rcnn,0.7931,0.06,0.01,0.06
video-5-segment-1,DM-2,0.8627,0.035,0.0,0.035
video-5-segment-1,BLIP,0.8679,0.035,0.015,0.04
video-5-segment-1,DM-1,0.8679,0.035,0.0,0.035
video-5-segment-1,DM-3,0.8696,0.03,0.005,0.025
video-5-segment-1,LLaVa,0.902,0.025,0.015,0.04
video-5-segment-1,GPT4V,0.9565,0.01,0.0,0.01
video-5-segment-1,RAM,0.9565,0.01,0.0,0.01
video-5-segment-1,yolo_v7,0.9787,0.005,0.0,0.005
video-5-segment-1,GT_N,1.0,0.0,0.0,0.0
video-6-segment-2,RAM,0.1739,0.125,0.1316,0.0197
video-6-segment-2,Random,0.233,0.5197,0.5197,0.0
video-6-segment-2,HRNet_V2,0.6462,0.1513,0.0197,0.1447
video-6-segment-2,DM-1,0.7241,0.1053,0.0066,0.1118
video-6-segment-2,BLIP,0.7273,0.0987,0.0461,0.0526
video-6-segment-2,DM-2,0.7273,0.0987,0.0132,0.0855
video-6-segment-2,GPV-1,0.7273,0.0987,0.0197,0.0921
video-6-segment-2,DM-3,0.7308,0.0921,0.0197,0.0724
video-6-segment-2,mask_rcnn,0.8235,0.0592,0.0132,0.0461
video-6-segment-2,faster_rcnn,0.8696,0.0395,0.0197,0.0329
video-6-segment-2,GPT4V,0.9524,0.0132,0.0132,0.0132
video-6-segment-2,LLaVa,0.9756,0.0066,0.0132,0.0066
video-6-segment-2,yolo_v7,0.9756,0.0066,0.0132,0.0066
video-6-segment-2,GT_N,1.0,0.0,0.0,0.0
video-7-segment-2,Random,0.3469,0.4706,0.4632,0.2426
video-7-segment-2,RAM,0.4762,0.1618,0.1838,0.0662
video-7-segment-2,HRNet_V2,0.7317,0.1618,0.1471,0.1912
video-7-segment-2,mask_rcnn,0.7397,0.1397,0.0956,0.1471
video-7-segment-2,faster_rcnn,0.7792,0.125,0.125,0.0735
video-7-segment-2,yolo_v7,0.8214,0.0735,0.0956,0.0368
video-7-segment-2,GPV-1,0.8286,0.0882,0.0882,0.0441
video-7-segment-2,DM-1,0.8533,0.0809,0.0588,0.0515
video-7-segment-2,BLIP,0.8571,0.0735,0.0515,0.0662
video-7-segment-2,DM-3,0.8571,0.0735,0.0662,0.0662
video-7-segment-2,DM-2,0.8611,0.0735,0.0735,0.0441
video-7-segment-2,GPT4V,0.9,0.0441,0.0147,0.0441
video-7-segment-2,LLaVa,0.9412,0.0294,0.0221,0.0368
video-7-segment-2,GT_N,1.0,0.0,0.0,0.0
video-8-segment-2,Random,0.1778,0.5286,0.5143,0.4429
video-8-segment-2,mask_rcnn,0.5469,0.2071,0.0,0.2071
video-8-segment-2,LLaVa,0.56,0.1964,0.1286,0.1964
video-8-segment-2,faster_rcnn,0.5785,0.1821,0.0,0.1821
video-8-segment-2,HRNet_V2,0.6296,0.1429,0.125,0.0179
video-8-segment-2,GPV-1,0.6863,0.1143,0.0,0.1143
video-8-segment-2,BLIP,0.7216,0.0964,0.0071,0.0893
video-8-segment-2,DM-1,0.7216,0.0964,0.0036,0.0929
video-8-segment-2,DM-2,0.7234,0.0929,0.0071,0.0857
video-8-segment-2,DM-3,0.7253,0.0893,0.0,0.0893
video-8-segment-2,GPT4V,0.9333,0.0179,0.0,0.0179
video-8-segment-2,yolo_v7,0.9444,0.0143,0.0,0.0143
video-8-segment-2,RAM,0.9722,0.0071,0.0,0.0071
video-8-segment-2,GT_N,1.0,0.0,0.0,0.0
video-11-segment-1,Random,0.3358,0.5687,0.5687,0.0
video-11-segment-1,RAM,0.6027,0.1812,0.2375,0.0813
video-11-segment-1,mask_rcnn,0.619,0.3,0.1812,0.1562
video-11-segment-1,HRNet_V2,0.6277,0.3187,0.35,0.1688
video-11-segment-1,faster_rcnn,0.6393,0.275,0.325,0.1125
video-11-segment-1,GPV-1,0.6786,0.225,0.2313,0.0813
video-11-segment-1,yolo_v7,0.8043,0.1125,0.1375,0.075
video-11-segment-1,GPT4V,0.8214,0.125,0.0563,0.0688
video-11-segment-1,LLaVa,0.8545,0.1,0.1062,0.1062
video-11-segment-1,DM-3,0.8727,0.0875,0.0312,0.0563
video-11-segment-1,BLIP,0.8738,0.0813,0.0125,0.0813
video-11-segment-1,DM-2,0.875,0.0875,0.05,0.075
video-11-segment-1,DM-1,0.8772,0.0875,0.0125,0.1
video-11-segment-1,GT_N,1.0,0.0,0.0,0.0
video-12-segment-4,RAM,0.2,0.3333,0.2708,0.0729
video-12-segment-4,Random,0.4678,0.474,0.5104,0.0885
video-12-segment-4,yolo_v7,0.7368,0.1562,0.1562,0.0
video-12-segment-4,faster_rcnn,0.7376,0.1927,0.125,0.2135
video-12-segment-4,mask_rcnn,0.7879,0.1458,0.0625,0.125
video-12-segment-4,GPV-1,0.8382,0.1146,0.1458,0.0729
video-12-segment-4,HRNet_V2,0.8553,0.1198,0.0729,0.1406
video-12-segment-4,GPT4V,0.8702,0.0885,0.0833,0.026
video-12-segment-4,DM-3,0.8917,0.0885,0.0469,0.1042
video-12-segment-4,DM-2,0.8931,0.0885,0.0104,0.0781
video-12-segment-4,BLIP,0.8936,0.0781,0.0417,0.0469
video-12-segment-4,DM-1,0.8944,0.0885,0.0312,0.0677
video-12-segment-4,LLaVa,0.9351,0.0521,0.0312,0.0312
video-12-segment-4,GT_N,1.0,0.0,0.0,0.0
video-13-segment-2,Random,0.4264,0.5231,0.537,0.1806
video-13-segment-2,RAM,0.5781,0.25,0.1111,0.1389
video-13-segment-2,faster_rcnn,0.7849,0.1852,0.1898,0.0509
video-13-segment-2,mask_rcnn,0.809,0.1574,0.0648,0.1019
video-13-segment-2,HRNet_V2,0.8515,0.1389,0.125,0.1157
video-13-segment-2,DM-2,0.8571,0.1343,0.0185,0.1157
video-13-segment-2,DM-1,0.8585,0.1343,0.0787,0.1389
video-13-segment-2,BLIP,0.8588,0.1111,0.0509,0.0694
video-13-segment-2,DM-3,0.86,0.1296,0.0694,0.1157
video-13-segment-2,yolo_v7,0.8642,0.1019,0.0972,0.0046
video-13-segment-2,GPV-1,0.881,0.0926,0.0602,0.0324
video-13-segment-2,GPT4V,0.931,0.0556,0.0185,0.037
video-13-segment-2,LLaVa,0.9405,0.0509,0.0324,0.037
video-13-segment-2,GT_N,1.0,0.0,0.0,0.0
video-14-segment-1,Random,0.3366,0.5583,0.5583,0.0
video-14-segment-1,RAM,0.5455,0.2083,0.2083,0.0
video-14-segment-1,faster_rcnn,0.6747,0.225,0.225,0.0
video-14-segment-1,mask_rcnn,0.6914,0.2083,0.2083,0.0
video-14-segment-1,yolo_v7,0.806,0.1083,0.1083,0.0
video-14-segment-1,HRNet_V2,0.8081,0.1583,0.1583,0.0667
video-14-segment-1,GPV-1,0.8791,0.0917,0.0333,0.1083
video-14-segment-1,DM-3,0.8941,0.075,0.05,0.125
video-14-segment-1,LLaVa,0.8966,0.075,0.0167,0.0583
video-14-segment-1,DM-2,0.8966,0.075,0.05,0.1083
video-14-segment-1,BLIP,0.8989,0.075,0.0,0.075
video-14-segment-1,DM-1,0.8989,0.075,0.0583,0.0833
video-14-segment-1,GPT4V,0.9333,0.0417,0.0,0.0417
video-14-segment-1,GT_N,1.0,0.0,0.0,0.0
video-14-segment-4,Random,0.3099,0.5104,0.5104,0.0
video-14-segment-4,RAM,0.5,0.1458,0.1146,0.0312
video-14-segment-4,faster_rcnn,0.549,0.2396,0.3646,0.125
video-14-segment-4,mask_rcnn,0.6122,0.1979,0.0,0.1979
video-14-segment-4,yolo_v7,0.6667,0.1146,0.1146,0.0208
video-14-segment-4,DM-1,0.6774,0.2083,0.2396,0.1354
video-14-segment-4,DM-2,0.678,0.1979,0.2083,0.3021
video-14-segment-4,DM-3,0.6786,0.1875,0.0208,0.1667
video-14-segment-4,BLIP,0.6818,0.1458,0.1354,0.0729
video-14-segment-4,HRNet_V2,0.7368,0.1562,0.1562,0.0
video-14-segment-4,GPV-1,0.8,0.1042,0.0208,0.0833
video-14-segment-4,LLaVa,0.9545,0.0208,0.0104,0.0104
video-14-segment-4,GPT4V,0.9756,0.0104,0.0,0.0104
video-14-segment-4,GT_N,1.0,0.0,0.0,0.0
video-15-segment-3,Random,0.4771,0.475,0.475,0.0
video-15-segment-3,RAM,0.7324,0.1583,0.1333,0.025
video-15-segment-3,GPV-1,0.8298,0.1333,0.0083,0.125
video-15-segment-3,mask_rcnn,0.8333,0.1333,0.0167,0.1167
video-15-segment-3,yolo_v7,0.8395,0.1083,0.0083,0.1
video-15-segment-3,faster_rcnn,0.8454,0.125,0.0167,0.1083
video-15-segment-3,HRNet_V2,0.9375,0.05,0.0,0.05
video-15-segment-3,DM-3,0.9663,0.025,0.0,0.025
video-15-segment-3,DM-2,0.967,0.025,0.0,0.025
video-15-segment-3,BLIP,0.9677,0.025,0.0083,0.0167
video-15-segment-3,DM-1,0.9677,0.025,0.0083,0.0167
video-15-segment-3,GPT4V,0.9888,0.0083,0.0,0.0083
video-15-segment-3,LLaVa,0.989,0.0083,0.0,0.0083
video-15-segment-3,GT_N,1.0,0.0,0.0,0.0
video-16-segment-3,RAM,0.4211,0.3438,0.3438,0.0
video-16-segment-3,DM-2,0.5802,0.5729,0.5938,0.0625
video-16-segment-3,DM-1,0.5821,0.5833,0.5312,0.0729
video-16-segment-3,BLIP,0.5823,0.3438,0.3542,0.0104
video-16-segment-3,DM-3,0.5827,0.5521,0.4792,0.2188
video-16-segment-3,Random,0.5909,0.375,0.3021,0.3229
video-16-segment-3,yolo_v7,0.6957,0.2188,0.2396,0.0208
video-16-segment-3,GPT4V,0.7222,0.2083,0.1354,0.0938
video-16-segment-3,LLaVa,0.7397,0.1979,0.125,0.0729
video-16-segment-3,faster_rcnn,0.7556,0.2292,0.2604,0.0938
video-16-segment-3,mask_rcnn,0.7765,0.1979,0.1875,0.1146
video-16-segment-3,HRNet_V2,0.84,0.1667,0.0938,0.1354
video-16-segment-3,GPV-1,0.85,0.125,0.1354,0.0104
video-16-segment-3,GT_N,1.0,0.0,0.0,0.0
