participant,trial,video,model left,score,timing,see_count,see,expertise,F1-Base,F1-Shadow,normalized_score
P3,11,video-14-segment-1,Ground Truth,1.0,104.0,4,"Roadside Parking,White Cane,Person with a disability,Stairs",Novice/Intermediate,1.0,,0.48148148148148134
P3,12,video-12-segment-4,BLIP,0.8,82.0,4,"White Cane,Pedestrian Crossing,Person with a disability,Building",Novice/Intermediate,0.9367088608,,0.2592592592592592
P3,13,video-1-segment-4,BLIP,0.7,98.0,4,"Gate,Person with a disability,White Cane,Bicycle",Novice/Intermediate,0.7943262411,,0.148148148148148
P3,14,video-2-segment-1,GPV-1,0.7,118.0,4,"Vegetation,White Cane,Tree,Person with a disability",Novice/Intermediate,0.780952381,,0.148148148148148
P3,15,video-4-segment-4,GPT4V@Shadow,0.3,107.0,4,"Person with a disability,White Cane,Slopped Curb,Tree",Novice/Intermediate,0.6346153846,0.6354166667,-0.2962962962962964
P3,16,video-4-segment-3,GPV-1@Shadow,0.5,71.0,4,"Fence,Person with a disability,Pole,White Cane",Novice/Intermediate,0.8275862069,0.8266666667,-0.07407407407407418
P3,17,video-15-segment-3,Random,0.1,72.0,4,"Person with a disability,Car,White Cane,Road",Novice/Intermediate,0.4179104478,,-0.5185185185185186
P3,18,video-1-segment-4,Random,0.1,123.0,4,"Bicycle,Person with a disability,Fence,White Cane",Novice/Intermediate,0.3469387755,,-0.5185185185185186
P3,19,video-6-segment-2,GPV-1,0.6,78.0,4,"Person with a disability,Stairs,Pillar,White Cane",Novice/Intermediate,0.8524590164,,0.0370370370370369
P3,20,video-7-segment-2,Random,0.4,90.0,4,"Building,Person with a disability,White Cane,Person",Novice/Intermediate,0.7021276596,,-0.18518518518518526
P3,21,video-11-segment-1,GPT4V@Shadow,0.3,124.0,4,"Trash bins,White Cane,Person with a disability,Tree",Novice/Intermediate,0.5217391304,0.523364486,-0.2962962962962964
P3,22,video-3-segment-2,Ground Truth,0.7,61.0,4,"Car,Fence,Person with a disability,White Cane",Novice/Intermediate,1.0,,0.148148148148148
P3,23,video-6-segment-2,BLIP@shadow,0.5,128.0,4,"White Cane,Pillar,Stairs,Person with a disability",Novice/Intermediate,0.6095238095,0.6111111111,-0.07407407407407418
P3,24,video-1-segment-5,GPV-1@Shadow,0.6,72.0,4,"Person with a disability,Bicycle,White Cane,Sidewalk",Novice/Intermediate,0.8936170213,0.8910891089,0.0370370370370369
P4,1,video-4-segment-4,Random,0.1,262.0,4,"Person,Road,White Cane,Sidewalk",Expert,0.6666666667,,-0.35
P4,2,video-1-segment-5,GPV-1,0.6,202.0,6,"Stairs,Sidewalk,Car,Building,Crosswalk,Motorcycle",Expert,0.75,,0.15000000000000002
P4,3,video-4-segment-1,GPT4V,0.8,286.0,5,"Trash on roads,Vegetation,Bus,Trash bins,Car",Expert,0.7058823529,,0.3500000000000001
P4,4,video-4-segment-3,Ground Truth,1.0,217.0,5,"Person with a disability,Vegetation,Mail box,White Cane,Pole",Expert,1.0,,0.55
P4,5,video-6-segment-2,GPV-1@Shadow,0.0,163.0,5,"Pillar,Person with a disability,Stairs,Accent Paving,Railing",Expert,0.8734177215,0.8727272727,-0.44999999999999996
P4,6,video-15-segment-3,BLIP@shadow,0.6,335.0,5,"Bicycle,Wall,Vegetation,Car,Tree",Expert,0.9677419355,0.9696969697,0.15000000000000002
P4,7,video-7-segment-2,Random,0.1,244.0,6,"White Cane,Accent Paving,Car,Road,Person,Vegetation",Expert,0.6101694915,,-0.35
P4,8,video-14-segment-4,GPT4V,0.7,248.0,5,"Bench,Fence,Building,Person with a disability,Vegetation",Expert,0.7837837838,,0.25
P4,9,video-3-segment-2,GPV-1,0.1,107.0,4,"Person with a disability,Car,Sidewalk,Fence",Expert,0.8705882353,,-0.35
P4,10,video-11-segment-1,GPT4V@Shadow,0.8,135.0,5,"Road,Trash bins,Person,Car,Push button",Expert,0.9801324503,0.9803921569,0.3500000000000001
P4,11,video-15-segment-3,BLIP,0.3,191.0,6,"Car,Bicycle,Person with a disability,Vegetation,Tree,Road",Expert,0.9448818898,,-0.14999999999999997
P4,12,video-2-segment-1,BLIP@shadow,0.6,185.0,6,"Person,Crosswalk,Building,Vegetation,Car,Tree",Expert,0.8435013263,0.8441247002,0.15000000000000002
P4,13,video-3-segment-2,BLIP@shadow,0.1,150.0,5,"Car,Person with a disability,Fence,Sidewalk,Road",Expert,0.8316831683,0.8349514563,-0.35
P4,14,video-11-segment-1,BLIP,0.8,147.0,6,"Building,Bus,Car,Trash bins,Road,Person",Expert,0.9839572193,,0.3500000000000001
P4,15,video-1-segment-4,Ground Truth,0.9,145.0,6,"Gate,Person with a disability,Car,Bicycle,Building,Vegetation",Expert,1.0,,0.45000000000000007
P4,16,video-1-segment-5,Random,0.0,82.0,5,"Car,Stairs,Barrier Post,Motorcycle,Person with a disability",Expert,0.5853658537,,-0.44999999999999996
P4,17,video-4-segment-3,Ground Truth,0.9,78.0,6,"Person with a disability,Sidewalk,Pole,Fence,Vegetation,White Cane",Expert,1.0,,0.45000000000000007
P4,18,video-12-segment-4,GPV-1@Shadow,0.0,80.0,6,"Building,Fence,Crosswalk,Person,Car,Tree",Expert,0.8266666667,0.8278688525,-0.44999999999999996
P4,19,video-6-segment-2,GPV-1@Shadow,0.0,65.0,5,"Person with a disability,Stairs,Railing,White Cane,Pillar",Expert,0.8441558442,0.8466257669,-0.44999999999999996
P4,20,video-16-segment-3,GPV-1,0.9,121.0,5,"Pole,Car,Building,Sign,Bicycle",Expert,0.9387755102,,0.45000000000000007
P4,21,video-13-segment-2,BLIP,0.7,130.0,5,"White Cane,Person with a disability,Traffic Signals,Car,Pole",Expert,0.8609865471,,0.25
P4,22,video-12-segment-4,GPT4V@Shadow,0.2,169.0,6,"Car,Crosswalk,Tree,Fence,Person,Mail box",Expert,0.8638497653,0.8650793651,-0.24999999999999994
P4,23,video-3-segment-3,GPT4V,0.6,94.0,5,"Person,Tree,Car,Vegetation,Fence",Expert,0.9198606272,,0.15000000000000002
P4,24,video-4-segment-1,GPT4V@Shadow,0.0,63.0,6,"Trash on roads,Fence,Car,Bus,Person with a disability,White Cane",Expert,0.8316831683,0.8345323741,-0.44999999999999996
P5,1,video-2-segment-1,GPV-1@Shadow,0.2,269.0,9,"Pillar,Tactile Paving,Bicycle,Pole,Elevator,Dog,Person,Sidewalk,Tree",Expert,0.6896551724137931,0.6883116883116883,-0.4124999999999999
P5,2,video-12-segment-4,GPV-1@Shadow,0.8,209.0,5,"Person,Building,Sidewalk,Person with a disability,Car",Expert,0.896551724137931,0.896551724137931,0.1875000000000001
P5,3,video-11-segment-1,Random,0.0,99.0,8,"Road,White Cane,Bus Stop,Roadside Parking,Counter,Chair,Person,Bus",Expert,0.4666666666666667,,-0.6124999999999999
P5,4,video-3-segment-2,GPV-1@Shadow,0.4,319.0,6,"Vegetation,Puddle,Car,Mail box,Snow,Person with a disability",Expert,0.6956521739130435,0.6966292134831461,-0.2124999999999999
P5,5,video-6-segment-2,GPT4V@Shadow,0.4,127.0,7,"Raised Entryway,White Cane,Person with a disability,Building,Driveway(flat),Train Platform,Stairs",Expert,0.6041666666666666,0.6037735849056605,-0.2124999999999999
P5,6,video-1-segment-5,GPV-1,0.8,112.0,6,"Curb,Bicycle,Car,Barrier Post,Raised Entryway,Road Divider",Expert,0.7387387387387387,,0.1875000000000001
P5,7,video-13-segment-2,GPT4V,0.9,76.0,7,"Slopped Curb,Person,Person with a disability,Traffic Signals,Escalator,Water Pipes,Car",Expert,0.8910891089108911,,0.2875000000000001
P5,8,video-16-segment-3,GPT4V,1.0,143.0,9,"Bicycle,Gate,Sign,Roadside Parking,Bus,Wet surface,Person,Closed Sidewalk,Building",Expert,0.6837606837606837,,0.38750000000000007
P5,9,video-3-segment-3,GPT4V@Shadow,0.8,122.0,7,"Stairs,Curb,Trash on roads,Car,Uncontrolled Crossing,Push button,Person with a disability",Expert,0.7560975609756097,0.7575757575757575,0.1875000000000001
P5,10,video-4-segment-3,BLIP,0.8,114.0,6,"Fence,Person,Curb,Sidewalk,Turnstile,Maintenance Vehicle",Expert,0.900763358778626,,0.1875000000000001
P5,11,video-11-segment-1,BLIP@Shadow,0.4,367.0,8,"Push button,Gutter,Building,Curb,Snow,Road Divider,Person,Trash bins",Expert,0.7771428571428571,0.7777777777777778,-0.2124999999999999
P5,12,video-14-segment-1,GPV-1,0.7,187.0,8,"Vegetation,Person with a disability,Building,Stairs,Barrier Stump,Chair,Railing,Car",Expert,0.7236842105263157,,0.08750000000000002
P5,13,video-14-segment-4,BLIP@Shadow,0.6,109.0,8,"Slopped Curb,White Cane,Building,Elevator,Trash bins,Barrier Post,Person,Bridge",Expert,0.5918367346938775,0.5925925925925926,-0.012499999999999956
P5,14,video-12-segment-4,Random,0.0,45.0,8,"Sign,Parallel Parking Spot,Car,Mail box,Road Divider,Push button,Person,Road",Expert,0.5217391304347826,,-0.6124999999999999
P5,15,video-4-segment-4,BLIP@Shadow,0.5,113.0,8,"Bus Stop,Railing,Sign,Bus,Barrier Post,Accent Paving,Sidewalk,White Cane",Expert,0.4444444444444445,0.4444444444444445,-0.11249999999999993
P5,16,video-15-segment-3,Ground Truth,0.9,110.0,8,"Car,Person with a disability,Puddle,Accent Paving,Water leakage,Fountain,Person,Building",Expert,1.0,,0.2875000000000001
P5,17,video-4-segment-1,GPT4V@Shadow,0.9,78.0,7,"Railing,Person,Bus Stop,Paratransit vehicle,Barrier Post,Road Shoulder,Bus",Expert,0.8301886792452831,0.8363636363636363,0.2875000000000001
P5,18,video-1-segment-4,BLIP,0.6,124.0,9,"Gate,Lamp Post,Railing,Road Shoulder,Wheelchair,Chair,Person,Building,Road",Expert,0.7486033519553073,,-0.012499999999999956
P5,19,video-15-segment-3,GPV-1,0.6,105.0,8,"Slopped Curb,Gate,Sloped Driveway,Tree,Train Platform,Wheelchair,Person,Car",Expert,0.7310344827586206,,-0.012499999999999956
P5,20,video-4-segment-4,Ground Truth,0.9,71.0,8,"Road,Curb,Lamp Post,Person with a disability,Table,Turnstile,Building,White Cane",Expert,1.0,,0.2875000000000001
P5,21,video-14-segment-1,GPT4V,0.6,146.0,9,"Bench,Sidewalk,Stairs,Building,Pillar,Pedestrian Crossing,Person,Car,Vegetation",Expert,0.8311688311688312,,-0.012499999999999956
P5,22,video-6-segment-2,Ground Truth,0.9,85.0,8,"Retaining Wall,Railing,Road,Building,Uneven Stairs,Fire hydrant,Person,White Cane",Expert,1.0,,0.2875000000000001
P5,23,video-4-segment-3,Random,0.1,56.0,8,"Vegetation,Sidewalk,Pole,White Cane,Accent Paving,Escalator,Person,Road",Expert,0.567741935483871,,-0.5125
P5,24,video-7-segment-2,BLIP,0.9,59.0,8,"White Cane,Person with a disability,Parallel Parking Spot,Sign,Street Vendor,Bridge,Building,Person",Expert,0.7166666666666668,,0.2875000000000001
P6,1,video-4-segment-1,BLIP,0.7,367.0,6,"Person,White Cane,Bus,Person with a disability,Trash bins,Bench",Novice/Intermediate,0.8461538461538461,,-0.041666666666666796
P6,2,video-14-segment-4,GPV-1@Shadow,0.8,307.0,5,"Person,Person with a disability,White Cane,Building,Railing",Novice/Intermediate,0.7777777777777777,0.7755102040816326,0.08333333333333331
P6,3,video-1-segment-4,BLIP@Shadow,0.9,92.0,6,"Pillar,Person,Bicycle,White Cane,Person with a disability,Gate",Novice/Intermediate,0.7862068965517242,0.7848101265822784,0.2083333333333333
P6,4,video-16-segment-3,GPV-1,0.9,260.0,6,"Person,Person with a disability,White Cane,Closed Sidewalk,Car,Building",Novice/Intermediate,0.923076923076923,,0.2083333333333333
P6,5,video-14-segment-1,Random,0.6,113.0,5,"Building,Road,Sidewalk,Person with a disability,White Cane",Novice/Intermediate,0.673469387755102,,-0.16666666666666677
P6,6,video-4-segment-4,BLIP@Shadow,0.7,247.0,3,"Person with a disability,White Cane,Sidewalk",Novice/Intermediate,0.8285714285714285,0.8292682926829269,-0.041666666666666796
P6,7,video-11-segment-1,Ground Truth,0.9,91.0,5,"Trash bins,Car,Person,Person with a disability,White Cane",Novice/Intermediate,1.0,,0.2083333333333333
P6,8,video-14-segment-4,GPV-1,0.8,280.0,5,"White Cane,Person with a disability,Person,Railing,Building",Novice/Intermediate,0.7777777777777777,,0.08333333333333331
P6,9,video-14-segment-1,GPV-1@Shadow,1.0,44.0,5,"Person with a disability,White Cane,Person,Road,Car",Novice/Intermediate,0.9545454545454544,0.9577464788732396,0.33333333333333326
P6,10,video-1-segment-5,Random,0.7,111.0,5,"Barrier Post,Person with a disability,White Cane,Motorcycle,Bicycle",Novice/Intermediate,0.6593406593406593,,-0.041666666666666796
P6,11,video-13-segment-2,Ground Truth,0.6,199.0,5,"Person with a disability,White Cane,Person,Curb,Pole",Novice/Intermediate,1.0,,-0.16666666666666677
P6,12,video-3-segment-2,GPV-1@Shadow,0.8,61.0,4,"Car,Person with a disability,White Cane,Railing",Novice/Intermediate,0.6666666666666667,0.6666666666666665,0.08333333333333331
P6,13,video-13-segment-2,BLIP@Shadow,0.7,157.0,4,"Pole,Sidewalk,White Cane,Building",Novice/Intermediate,0.7599999999999999,0.7572815533980584,-0.041666666666666796
P6,14,video-16-segment-3,GPT4V,0.9,64.0,5,"Closed Sidewalk,Person with a disability,White Cane,Person,Car",Novice/Intermediate,0.8888888888888888,,0.2083333333333333
P6,15,video-6-segment-2,BLIP,0.2,68.0,4,"Railing,White Cane,Stairs,Person with a disability",Novice/Intermediate,0.7021276595744681,,-0.6666666666666667
P6,16,video-12-segment-4,GPT4V@Shadow,0.8,83.0,5,"Building,White Cane,Person,Person with a disability,Crosswalk",Novice/Intermediate,0.91156462585034,0.91156462585034,0.08333333333333331
P6,17,video-4-segment-3,GPV-1,0.8,125.0,4,"Sidewalk,Person with a disability,White Cane,Pole",Novice/Intermediate,0.8363636363636364,,0.08333333333333331
P6,18,video-3-segment-2,BLIP,0.7,58.0,3,"Car,Person with a disability,White Cane",Novice/Intermediate,0.7692307692307693,,-0.041666666666666796
P6,19,video-7-segment-2,GPT4V,0.8,89.0,4,"Curb,Car,Person with a disability,White Cane",Novice/Intermediate,0.7764705882352942,,0.08333333333333331
P6,20,video-1-segment-4,GPT4V@Shadow,0.8,132.0,4,"Gate,Person with a disability,White Cane,Railing",Novice/Intermediate,0.691358024691358,0.6938775510204082,0.08333333333333331
P6,21,video-4-segment-3,GPT4V,0.5,53.0,3,"White Cane,Person with a disability,Pole",Novice/Intermediate,0.676923076923077,,-0.29166666666666674
P6,22,video-4-segment-1,Random,0.3,34.0,5,"Fence,White Cane,Pole,Wheelchair,Bus",Novice/Intermediate,0.4788732394366197,,-0.5416666666666667
P6,23,video-6-segment-2,Ground Truth,1.0,40.0,4,"Person with a disability,White Cane,Railing,Stairs",Novice/Intermediate,1.0,,0.33333333333333326
P6,24,video-3-segment-3,GPT4V@Shadow,0.7,65.0,4,"Person with a disability,White Cane,Sidewalk,Car",Novice/Intermediate,0.7640449438202247,0.7647058823529411,-0.041666666666666796
P7,1,video-14-segment-1,GPV-1,0.8,132.0,5,"White Cane,Car,Bench,Bus Stop,Yard Waste",Novice/Intermediate,0.7529411764705882,,-0.10416666666666685
P7,2,video-13-segment-2,Ground Truth,1.0,72.0,5,"Traffic Signals,Pole,Building,Road Divider,Stop sign",Novice/Intermediate,1.0,,0.39583333333333304
P7,3,video-4-segment-1,GPV-1@Shadow,0.8,194.0,5,"Fence,Pole,Person with a disability,Wall,Uncontrolled Crossing",Novice/Intermediate,0.5542168674698795,,-0.10416666666666685
P7,4,video-3-segment-2,GPT4V@Shadow,0.7,212.0,6,"Parallel Parking Spot,Fence,Wet surface,White Cane,Stop sign,Tactile Paving",Novice/Intermediate,0.48,,-0.3541666666666671
P7,5,video-1-segment-5,Ground Truth,1.0,34.0,6,"Road,Motorcycle,Car,Stairs,Wheelchair,Pole",Novice/Intermediate,1.0,,0.39583333333333304
P7,6,video-11-segment-1,BLIP,0.9,56.0,5,"Roadside Parking,Lamp Post,White Cane,Person,Trash on roads",Novice/Intermediate,0.6666666666666667,,0.1458333333333331
P7,7,video-4-segment-3,GPV-1,0.9,186.0,5,"Tactile Paving,Fence,Curb,Train Tracks,Fire hydrant",Novice/Intermediate,0.7954545454545454,,0.1458333333333331
P7,8,video-14-segment-4,Random,0.7,127.0,6,"White Cane,Gate,Lamp Post,Wall,Unpaved Sidewalk,Barrier Post",Novice/Intermediate,0.4507042253521127,,-0.3541666666666671
P7,9,video-11-segment-1,Random,0.6,235.0,7,"Trash bins,Pole,White Cane,Puddle,Train Tracks,Tree,Wet surface",Novice/Intermediate,0.4329896907216495,,-0.604166666666667
P7,10,video-16-segment-3,BLIP,1.0,186.0,9,"Closed Sidewalk,Street Vendor,Sign Post,Wall,Bridge,Tactile Paving,Barrier Post,Car,White Cane",Novice/Intermediate,0.8652482269503546,,0.39583333333333304
P7,11,video-1-segment-4,GPV-1,0.8,77.0,6,"Pedestrian Crossing,Vegetation,Slopped Curb,Roadside Parking,Uneven Stairs,White Cane",Novice/Intermediate,0.6194690265486724,,-0.10416666666666685
P7,12,video-4-segment-3,Ground Truth,1.0,52.0,8,"Vegetation,Slopped Curb,Pole,Sidewalk,Snow,Street Vendor,Person with a disability,White Cane",Novice/Intermediate,1.0,,0.39583333333333304
P7,13,video-4-segment-4,GPT4V,0.8,100.0,10,"Slopped Curb,Sign,Bus,Curb,Wheelchair,Fountain,Person with a disability,White Cane,Closed Sidewalk,Sidewalk",Novice/Intermediate,0.7592592592592593,,-0.10416666666666685
P7,14,video-4-segment-4,BLIP@Shadow,0.8,61.0,8,"Sign Post,Pole,Person with a disability,White Cane,Uneven Stairs,Wheelchair,Vegetation,Sidewalk",Novice/Intermediate,0.6037735849056604,,-0.10416666666666685
P7,15,video-4-segment-1,BLIP,0.8,36.0,6,"Trash on roads,Trash bins,Person,Car,Tactile Paving,White Cane",Novice/Intermediate,0.8403361344537814,,-0.10416666666666685
P7,16,video-13-segment-2,GPT4V,0.9,67.0,10,"Road Divider,Pedestrian Crossing,Building,Sign,Flush Door,Train Platform,White Cane,Sidewalk,Car,Traffic Signals",Novice/Intermediate,0.8235294117647058,,0.1458333333333331
P7,17,video-14-segment-1,Random,0.7,203.0,10,"Car,Bench,Stairs,Road,Water leakage,Escalator,Fence,Road Shoulder,White Cane,Traffic Signals",Novice/Intermediate,0.437956204379562,,-0.3541666666666671
