Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19
Driveway(flat),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Driveway(flat),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elevator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Elevator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Escalator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire hydrant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Fire hydrant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flush Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Flush Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foldout Sign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Foldout Sign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Fountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guide dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Guide dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gutter,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
*Gutter,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
Hose,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Hose,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamp Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
*Lamp Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mail box,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
*Mail box,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Maintenance Vehicle,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
*Maintenance Vehicle,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parallel Parking Spot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Parallel Parking Spot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paratransit vehicle,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
*Paratransit vehicle,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pedestrian Crossing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Pedestrian Crossing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Person,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Person,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Person with a disability,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
*Person with a disability,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Pillar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Pillar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pole,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Pole,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Puddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Push button,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Push button,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Railing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Railing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raised Entryway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Raised Entryway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retaining Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Retaining Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Road Divider,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Road Divider,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Road Shoulder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Road Shoulder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Roadside Parking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
*Roadside Parking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sidewalk pits,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Sidewalk pits,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Sign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sign Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Sign Post,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sloped Driveway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Sloped Driveway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slopped Curb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
*Slopped Curb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Snow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Snow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Stairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stop sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Stop sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Vendor,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
*Street Vendor,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tactile Paving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Tactile Paving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Traffic Signals,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
*Traffic Signals,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
Train Platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Train Platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Train Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trash bins,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
*Trash bins,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Trash on roads,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
*Trash on roads,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Turnstile,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
*Turnstile,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
Uncontrolled Crossing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
*Uncontrolled Crossing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Uneven Stairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Uneven Stairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unpaved Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Unpaved Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unpaved Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Unpaved Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vegetation,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
*Vegetation,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
Wall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
*Wall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Water leakage,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
*Water leakage,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Water Pipes,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
*Water Pipes,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Wet surface,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
*Wet surface,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wheelchair,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
*Wheelchair,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
White Cane,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
*White Cane,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Yard Waste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
*Yard Waste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
