Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16
*Guide dog,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gutter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Gutter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hose,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
*Hose,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
Lamp Post,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
*Lamp Post,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Mail box,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
*Mail box,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Maintenance Vehicle,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1
*Maintenance Vehicle,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1
Motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parallel Parking Spot,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
*Parallel Parking Spot,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
Paratransit vehicle,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
*Paratransit vehicle,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Pedestrian Crossing,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
*Pedestrian Crossing,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
Person,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
*Person,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Person with a disability,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
*Person with a disability,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
Pillar,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
*Pillar,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
Pole,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
*Pole,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Puddle,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
*Puddle,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
Push button,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
*Push button,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
Railing,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
*Railing,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Raised Entryway,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Raised Entryway,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retaining Wall,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
*Retaining Wall,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Road Divider,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
*Road Divider,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Road Shoulder,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
*Road Shoulder,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Roadside Parking,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
*Roadside Parking,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Sidewalk,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
*Sidewalk,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
Sidewalk pits,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
*Sidewalk pits,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Sign,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
*Sign,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Sign Post,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
*Sign Post,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Sloped Driveway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Sloped Driveway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slopped Curb,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
*Slopped Curb,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Snow,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
*Snow,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
Stairs,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
*Stairs,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
Stop sign,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
*Stop sign,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
Street Vendor,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
*Street Vendor,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
Table,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
*Table,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Tactile Paving,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
*Tactile Paving,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Traffic Signals,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
*Traffic Signals,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Train Platform,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1
*Train Platform,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1
Train Tracks,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1
*Train Tracks,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1
Trash bins,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1
*Trash bins,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1
Trash on roads,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
*Trash on roads,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
Tree,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
*Tree,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
Turnstile,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
*Turnstile,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
Uncontrolled Crossing,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
*Uncontrolled Crossing,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
Uneven Stairs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Uneven Stairs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unpaved Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
*Unpaved Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Unpaved Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*Unpaved Sidewalk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vegetation,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0
*Vegetation,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0
Wall,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1
*Wall,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1
Water leakage,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
*Water leakage,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
Water Pipes,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
*Water Pipes,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
Wet surface,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
*Wet surface,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Wheelchair,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
*Wheelchair,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
White Cane,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
*White Cane,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
Yard Waste,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
*Yard Waste,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
