Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19
Train Platform,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1
*Train Platform,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1
Train Tracks,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
*Train Tracks,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0
Trash bins,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
*Trash bins,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
Trash on roads,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
*Trash on roads,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
Tree,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
*Tree,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
Turnstile,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1
*Turnstile,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1
Uncontrolled Crossing,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1
*Uncontrolled Crossing,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1
Uneven Stairs,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1
*Uneven Stairs,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1
Unpaved Road,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
*Unpaved Road,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
Unpaved Sidewalk,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
*Unpaved Sidewalk,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
Vegetation,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
*Vegetation,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
Wall,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
*Wall,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
Water leakage,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
*Water leakage,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
Water Pipes,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
*Water Pipes,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
Wet surface,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
*Wet surface,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
Wheelchair,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
*Wheelchair,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
White Cane,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0
*White Cane,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0
Yard Waste,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0
*Yard Waste,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0
