Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11
*Person,0,0,0,1,1,0,1,1,0,1,0,0
Person with a disability,0,1,0,0,0,0,0,0,1,0,1,1
*Person with a disability,0,1,0,0,0,0,0,0,1,0,1,1
Pillar,0,0,0,1,1,0,1,1,0,0,1,0
*Pillar,0,0,0,1,1,0,1,1,0,0,1,0
Pole,0,0,0,0,1,0,0,1,0,1,1,0
*Pole,0,0,0,0,1,0,0,1,0,1,1,0
Puddle,0,0,0,1,0,0,1,0,0,1,1,0
*Puddle,0,0,0,1,0,0,1,0,0,1,1,0
Push button,0,1,1,0,1,1,0,0,0,0,0,0
*Push button,0,1,1,0,1,1,0,0,0,0,0,0
Railing,1,0,0,1,0,0,0,0,0,1,0,0
*Railing,1,0,0,1,0,0,0,0,0,1,0,0
Raised Entryway,1,0,0,0,0,1,1,1,0,0,1,1
*Raised Entryway,1,0,0,0,0,1,1,1,0,0,1,1
Retaining Wall,0,0,0,1,0,0,1,1,0,0,0,0
*Retaining Wall,0,0,0,1,0,0,1,1,0,0,0,0
Road,1,0,1,1,0,0,0,1,0,1,0,0
*Road,1,0,1,1,0,0,0,1,0,1,0,0
Road Divider,1,0,1,0,0,0,0,1,0,1,1,0
*Road Divider,1,0,1,0,0,0,0,1,0,1,1,0
Road Shoulder,1,1,1,1,0,0,1,0,0,1,0,0
*Road Shoulder,1,1,1,1,0,0,1,0,0,1,0,0
Roadside Parking,0,0,1,1,0,0,1,1,0,1,1,0
*Roadside Parking,0,0,1,1,0,0,1,1,0,1,1,0
Sidewalk,1,0,1,0,1,1,0,1,1,0,1,0
*Sidewalk,1,0,1,0,1,1,0,1,1,0,1,0
Sidewalk pits ,1,0,0,1,0,1,0,0,0,1,0,1
*Sidewalk pits ,1,0,0,1,0,1,0,0,0,1,0,1
Sign,0,1,1,0,0,1,0,1,0,0,1,1
*Sign,0,1,1,0,0,1,0,1,0,0,1,1
Sign Post,0,0,0,1,1,1,0,0,1,1,1,1
*Sign Post,0,0,0,1,1,1,0,0,1,1,1,1
Sloped Driveway,0,0,0,1,0,1,0,0,1,0,0,1
*Sloped Driveway,0,0,0,1,0,1,0,0,1,0,0,1
Slopped Curb,0,1,1,1,1,0,0,0,1,0,0,0
*Slopped Curb,0,1,1,1,1,0,0,0,1,0,0,0
Snow,1,1,1,1,1,1,0,0,1,1,1,1
*Snow,1,1,1,1,1,1,0,0,1,1,1,1
Stairs,0,1,0,1,1,1,1,1,0,1,0,1
*Stairs,0,1,0,1,1,1,1,1,0,1,0,1
Stop sign,1,1,1,1,1,1,1,0,1,0,1,1
*Stop sign,1,1,1,1,1,1,1,0,1,0,1,1
Street Vendor,0,0,1,0,1,1,1,1,1,0,0,0
*Street Vendor,0,0,1,0,1,1,1,1,1,0,0,0
Table,1,1,0,0,0,1,0,1,0,0,1,0
*Table,1,1,0,0,0,1,0,1,0,0,1,0
Tactile Paving,1,1,1,1,1,1,0,0,1,1,0,0
*Tactile Paving,1,1,1,1,1,1,0,0,1,1,0,0
Traffic Signals,1,1,1,1,0,0,1,1,1,1,1,0
*Traffic Signals,1,1,1,1,0,0,1,1,1,1,1,0
Train Platform,1,1,0,1,0,0,0,1,0,0,1,0
*Train Platform,1,1,0,1,0,0,0,1,0,0,1,0
Train Tracks,0,1,0,1,1,1,1,1,0,1,0,1
*Train Tracks,0,1,0,1,1,1,1,1,0,1,0,1
Trash bins,1,1,1,1,0,0,1,1,0,0,1,0
*Trash bins,1,1,1,1,0,0,1,1,0,0,1,0
Trash on roads,1,1,0,1,0,1,1,1,0,1,1,1
*Trash on roads,1,1,0,1,0,1,1,1,0,1,1,1
Tree,0,0,1,0,0,1,1,1,1,1,0,0
*Tree,0,0,1,0,0,1,1,1,1,1,0,0
Turnstile,1,1,1,0,1,0,1,1,1,1,1,1
*Turnstile,1,1,1,0,1,0,1,1,1,1,1,1
Uncontrolled Crossing,1,1,0,0,1,1,0,0,0,0,1,0
*Uncontrolled Crossing,1,1,0,0,1,1,0,0,0,0,1,0
Uneven Stairs,1,0,1,0,0,0,1,1,1,0,1,1
*Uneven Stairs,1,0,1,0,0,0,1,1,1,0,1,1
Unpaved Road,0,0,0,1,0,1,1,1,0,1,0,0
*Unpaved Road,0,0,0,1,0,1,1,1,0,1,0,0
Unpaved Sidewalk,0,1,0,0,0,1,0,0,1,1,1,0
*Unpaved Sidewalk,0,1,0,0,0,1,0,0,1,1,1,0
Vegetation,1,0,0,1,0,0,0,1,0,1,1,0
*Vegetation,1,0,0,1,0,0,0,1,0,1,1,0
Wall,1,0,1,0,1,0,0,1,0,0,0,1
*Wall,1,0,1,0,1,0,0,1,0,0,0,1
Water leakage,1,0,0,0,0,1,0,1,1,1,0,1
*Water leakage,1,0,0,0,0,1,0,1,1,1,0,1
Water Pipes,0,1,0,0,0,1,1,0,1,1,1,1
*Water Pipes,0,1,0,0,0,1,1,0,1,1,1,1
Wet surface,1,1,0,1,0,0,0,1,0,0,0,1
*Wet surface,1,1,0,1,0,0,0,1,0,0,0,1
Wheelchair,0,0,0,1,0,1,1,0,1,0,0,0
*Wheelchair,0,0,0,1,0,1,1,0,1,0,0,0
White Cane,1,0,0,0,1,0,0,1,1,1,0,0
*White Cane,1,0,0,0,1,0,0,1,1,1,0,0
Yard Waste,1,1,1,1,1,1,1,0,1,1,1,1
*Yard Waste,1,1,1,1,1,1,1,0,1,1,1,1
