participant,trial,video,model left,score,F1-Base,F1-Shadow,timing,see_count,see,expertise,normalized_score_mc,normalized_score
P3,23,video-6-segment-2,BLIP@shadow,0.5,0.6095238095,0.6111111111,128.0,4,"White Cane,Pillar,Stairs,Person with a disability",Non-Expert,-0.0666666666666667,0.4440677966101694
P3,24,video-1-segment-5,GPV-1@Shadow,0.6,0.8936170213,0.8910891089,72.0,4,"Person with a disability,Bicycle,White Cane,Sidewalk",Non-Expert,0.0333333333333332,0.5254237288135593
P4,1,video-4-segment-4,Random,0.1,0.6666666667,,262.0,4,"Person,Road,White Cane,Sidewalk",Expert,-0.35,0.2135593220338983
P4,2,video-1-segment-5,GPV-1,0.6,0.75,,202.0,6,"Stairs,Sidewalk,Car,Building,Crosswalk,Motorcycle",Expert,0.15,0.6203389830508474
P4,3,video-4-segment-1,GPT4V,0.8,0.7058823529,,286.0,5,"Trash on roads,Vegetation,Bus,Trash bins,Car",Expert,0.3500000000000001,0.7830508474576272
P4,4,video-4-segment-3,Ground Truth,1.0,1.0,,217.0,5,"Person with a disability,Vegetation,Mail box,White Cane,Pole",Expert,0.55,0.945762711864407
P4,5,video-6-segment-2,GPV-1@Shadow,0.0,0.8734177215,0.8727272727,163.0,5,"Pillar,Person with a disability,Stairs,Accent Paving,Railing",Expert,-0.4499999999999999,0.1322033898305084
P4,6,video-15-segment-3,BLIP@shadow,0.6,0.9677419355,0.9696969697,335.0,5,"Bicycle,Wall,Vegetation,Car,Tree",Expert,0.15,0.6203389830508474
P4,7,video-7-segment-2,Random,0.1,0.6101694915,,244.0,6,"White Cane,Accent Paving,Car,Road,Person,Vegetation",Expert,-0.35,0.2135593220338983
P4,8,video-14-segment-4,GPT4V,0.7,0.7837837838,,248.0,5,"Bench,Fence,Building,Person with a disability,Vegetation",Expert,0.25,0.7016949152542373
P4,9,video-3-segment-2,GPV-1,0.1,0.8705882353,,107.0,4,"Person with a disability,Car,Sidewalk,Fence",Expert,-0.35,0.2135593220338983
P4,10,video-11-segment-1,GPT4V@Shadow,0.8,0.9801324503,0.9803921569,135.0,5,"Road,Trash bins,Person,Car,Push button",Expert,0.3500000000000001,0.7830508474576272
P4,11,video-15-segment-3,BLIP,0.3,0.9448818898,,191.0,6,"Car,Bicycle,Person with a disability,Vegetation,Tree,Road",Expert,-0.1499999999999999,0.376271186440678
P4,12,video-2-segment-1,BLIP@shadow,0.6,0.8435013263,0.8441247002,185.0,6,"Person,Crosswalk,Building,Vegetation,Car,Tree",Expert,0.15,0.6203389830508474
P4,13,video-3-segment-2,BLIP@shadow,0.1,0.8316831683,0.8349514563,150.0,5,"Car,Person with a disability,Fence,Sidewalk,Road",Expert,-0.35,0.2135593220338983
P4,14,video-11-segment-1,BLIP,0.8,0.9839572193,,147.0,6,"Building,Bus,Car,Trash bins,Road,Person",Expert,0.3500000000000001,0.7830508474576272
P4,15,video-1-segment-4,Ground Truth,0.9,1.0,,145.0,6,"Gate,Person with a disability,Car,Bicycle,Building,Vegetation",Expert,0.45,0.8644067796610171
P4,16,video-1-segment-5,Random,0.0,0.5853658537,,82.0,5,"Car,Stairs,Barrier Post,Motorcycle,Person with a disability",Expert,-0.4499999999999999,0.1322033898305084
P4,17,video-4-segment-3,Ground Truth,0.9,1.0,,78.0,6,"Person with a disability,Sidewalk,Pole,Fence,Vegetation,White Cane",Expert,0.45,0.8644067796610171
P4,18,video-12-segment-4,GPV-1@Shadow,0.0,0.8266666667,0.8278688525,80.0,6,"Building,Fence,Crosswalk,Person,Car,Tree",Expert,-0.4499999999999999,0.1322033898305084
P4,19,video-6-segment-2,GPV-1@Shadow,0.0,0.8441558442,0.8466257669,65.0,5,"Person with a disability,Stairs,Railing,White Cane,Pillar",Expert,-0.4499999999999999,0.1322033898305084
P4,20,video-16-segment-3,GPV-1,0.9,0.9387755102,,121.0,5,"Pole,Car,Building,Sign,Bicycle",Expert,0.45,0.8644067796610171
P4,21,video-13-segment-2,BLIP,0.7,0.8609865471,,130.0,5,"White Cane,Person with a disability,Traffic Signals,Car,Pole",Expert,0.25,0.7016949152542373
P4,22,video-12-segment-4,GPT4V@Shadow,0.2,0.8638497653,0.8650793651,169.0,6,"Car,Crosswalk,Tree,Fence,Person,Mail box",Expert,-0.2499999999999999,0.2949152542372881
P4,23,video-3-segment-3,GPT4V,0.6,0.9198606272,,94.0,5,"Person,Tree,Car,Vegetation,Fence",Expert,0.15,0.6203389830508474
P4,24,video-4-segment-1,GPT4V@Shadow,0.0,0.8316831683,0.8345323741,63.0,6,"Trash on roads,Fence,Car,Bus,Person with a disability,White Cane",Expert,-0.4499999999999999,0.1322033898305084
P5,1,video-2-segment-1,GPV-1@Shadow,0.2,0.6896551724137931,0.6883116883116883,269.0,9,"Pillar,Tactile Paving,Bicycle,Pole,Elevator,Dog,Person,Sidewalk,Tree",Expert,-0.4124999999999999,0.1627118644067796
P5,2,video-12-segment-4,GPV-1@Shadow,0.8,0.896551724137931,0.896551724137931,209.0,5,"Person,Building,Sidewalk,Person with a disability,Car",Expert,0.1875000000000001,0.6508474576271187
P5,3,video-11-segment-1,Random,0.0,0.4666666666666667,,99.0,8,"Road,White Cane,Bus Stop,Roadside Parking,Counter,Chair,Person,Bus",Expert,-0.6124999999999999,0.0
P5,4,video-3-segment-2,GPV-1@Shadow,0.4,0.6956521739130435,0.6966292134831461,319.0,6,"Vegetation,Puddle,Car,Mail box,Snow,Person with a disability",Expert,-0.2124999999999999,0.3254237288135593
P5,5,video-6-segment-2,GPT4V@Shadow,0.4,0.6041666666666666,0.6037735849056605,127.0,7,"Raised Entryway,White Cane,Person with a disability,Building,Driveway(flat),Train Platform,Stairs",Expert,-0.2124999999999999,0.3254237288135593
P5,6,video-1-segment-5,GPV-1,0.8,0.7387387387387387,,112.0,6,"Curb,Bicycle,Car,Barrier Post,Raised Entryway,Road Divider",Expert,0.1875000000000001,0.6508474576271187
P5,7,video-13-segment-2,GPT4V,0.9,0.8910891089108911,,76.0,7,"Slopped Curb,Person,Person with a disability,Traffic Signals,Escalator,Water Pipes,Car",Expert,0.2875000000000001,0.7322033898305086
P5,8,video-16-segment-3,GPT4V,1.0,0.6837606837606837,,143.0,9,"Bicycle,Gate,Sign,Roadside Parking,Bus,Wet surface,Person,Closed Sidewalk,Building",Expert,0.3875,0.8135593220338984
P5,9,video-3-segment-3,GPT4V@Shadow,0.8,0.7560975609756097,0.7575757575757575,122.0,7,"Stairs,Curb,Trash on roads,Car,Uncontrolled Crossing,Push button,Person with a disability",Expert,0.1875000000000001,0.6508474576271187
P5,10,video-4-segment-3,BLIP,0.8,0.900763358778626,,114.0,6,"Fence,Person,Curb,Sidewalk,Turnstile,Maintenance Vehicle",Expert,0.1875000000000001,0.6508474576271187
P5,11,video-11-segment-1,BLIP@Shadow,0.4,0.7771428571428571,0.7777777777777778,367.0,8,"Push button,Gutter,Building,Curb,Snow,Road Divider,Person,Trash bins",Expert,-0.2124999999999999,0.3254237288135593
P5,12,video-14-segment-1,GPV-1,0.7,0.7236842105263157,,187.0,8,"Vegetation,Person with a disability,Building,Stairs,Barrier Stump,Chair,Railing,Car",Expert,0.0875,0.5694915254237288
P5,13,video-14-segment-4,BLIP@Shadow,0.6,0.5918367346938775,0.5925925925925926,109.0,8,"Slopped Curb,White Cane,Building,Elevator,Trash bins,Barrier Post,Person,Bridge",Expert,-0.0124999999999999,0.488135593220339
P5,14,video-12-segment-4,Random,0.0,0.5217391304347826,,45.0,8,"Sign,Parallel Parking Spot,Car,Mail box,Road Divider,Push button,Person,Road",Expert,-0.6124999999999999,0.0
P5,15,video-4-segment-4,BLIP@Shadow,0.5,0.4444444444444445,0.4444444444444445,113.0,8,"Bus Stop,Railing,Sign,Bus,Barrier Post,Accent Paving,Sidewalk,White Cane",Expert,-0.1124999999999999,0.4067796610169492
P5,16,video-15-segment-3,Ground Truth,0.9,1.0,,110.0,8,"Car,Person with a disability,Puddle,Accent Paving,Water leakage,Fountain,Person,Building",Expert,0.2875000000000001,0.7322033898305086
P5,17,video-4-segment-1,GPT4V@Shadow,0.9,0.8301886792452831,0.8363636363636363,78.0,7,"Railing,Person,Bus Stop,Paratransit vehicle,Barrier Post,Road Shoulder,Bus",Expert,0.2875000000000001,0.7322033898305086
P5,18,video-1-segment-4,BLIP,0.6,0.7486033519553073,,124.0,9,"Gate,Lamp Post,Railing,Road Shoulder,Wheelchair,Chair,Person,Building,Road",Expert,-0.0124999999999999,0.488135593220339
P5,19,video-15-segment-3,GPV-1,0.6,0.7310344827586206,,105.0,8,"Slopped Curb,Gate,Sloped Driveway,Tree,Train Platform,Wheelchair,Person,Car",Expert,-0.0124999999999999,0.488135593220339
P5,20,video-4-segment-4,Ground Truth,0.9,1.0,,71.0,8,"Road,Curb,Lamp Post,Person with a disability,Table,Turnstile,Building,White Cane",Expert,0.2875000000000001,0.7322033898305086
P5,21,video-14-segment-1,GPT4V,0.6,0.8311688311688312,,146.0,9,"Bench,Sidewalk,Stairs,Building,Pillar,Pedestrian Crossing,Person,Car,Vegetation",Expert,-0.0124999999999999,0.488135593220339
P5,22,video-6-segment-2,Ground Truth,0.9,1.0,,85.0,8,"Retaining Wall,Railing,Road,Building,Uneven Stairs,Fire hydrant,Person,White Cane",Expert,0.2875000000000001,0.7322033898305086
P5,23,video-4-segment-3,Random,0.1,0.567741935483871,,56.0,8,"Vegetation,Sidewalk,Pole,White Cane,Accent Paving,Escalator,Person,Road",Expert,-0.5125,0.0813559322033898
P5,24,video-7-segment-2,BLIP,0.9,0.7166666666666668,,59.0,8,"White Cane,Person with a disability,Parallel Parking Spot,Sign,Street Vendor,Bridge,Building,Person",Expert,0.2875000000000001,0.7322033898305086
P6,1,video-4-segment-1,BLIP,0.7,0.8461538461538461,,367.0,6,"Person,White Cane,Bus,Person with a disability,Trash bins,Bench",Non-Expert,-0.0333333333333334,0.471186440677966
P6,2,video-14-segment-4,GPV-1@Shadow,0.8,0.7777777777777777,0.7755102040816326,307.0,5,"Person,Person with a disability,White Cane,Building,Railing",Non-Expert,0.0666666666666666,0.5525423728813559
P6,3,video-1-segment-4,BLIP@Shadow,0.9,0.7862068965517242,0.7848101265822784,92.0,6,"Pillar,Person,Bicycle,White Cane,Person with a disability,Gate",Non-Expert,0.1666666666666666,0.6338983050847458
P6,4,video-16-segment-3,GPV-1,0.9,0.923076923076923,,260.0,6,"Person,Person with a disability,White Cane,Closed Sidewalk,Car,Building",Non-Expert,0.1666666666666666,0.6338983050847458
P6,5,video-14-segment-1,Random,0.6,0.673469387755102,,113.0,5,"Building,Road,Sidewalk,Person with a disability,White Cane",Non-Expert,-0.1333333333333334,0.3898305084745762
P6,6,video-4-segment-4,BLIP@Shadow,0.7,0.8285714285714285,0.8292682926829269,247.0,3,"Person with a disability,White Cane,Sidewalk",Non-Expert,-0.0333333333333334,0.471186440677966
P6,7,video-11-segment-1,Ground Truth,0.9,1.0,,91.0,5,"Trash bins,Car,Person,Person with a disability,White Cane",Non-Expert,0.1666666666666666,0.6338983050847458
P6,8,video-14-segment-4,GPV-1,0.8,0.7777777777777777,,280.0,5,"White Cane,Person with a disability,Person,Railing,Building",Non-Expert,0.0666666666666666,0.5525423728813559
P6,9,video-14-segment-1,GPV-1@Shadow,1.0,0.9545454545454544,0.9577464788732396,44.0,5,"Person with a disability,White Cane,Person,Road,Car",Non-Expert,0.2666666666666666,0.7152542372881355
P6,10,video-1-segment-5,Random,0.7,0.6593406593406593,,111.0,5,"Barrier Post,Person with a disability,White Cane,Motorcycle,Bicycle",Non-Expert,-0.0333333333333334,0.471186440677966
P6,11,video-13-segment-2,Ground Truth,0.6,1.0,,199.0,5,"Person with a disability,White Cane,Person,Curb,Pole",Non-Expert,-0.1333333333333334,0.3898305084745762
P6,12,video-3-segment-2,GPV-1@Shadow,0.8,0.6666666666666667,0.6666666666666665,61.0,4,"Car,Person with a disability,White Cane,Railing",Non-Expert,0.0666666666666666,0.5525423728813559
P6,13,video-13-segment-2,BLIP@Shadow,0.7,0.7599999999999999,0.7572815533980584,157.0,4,"Pole,Sidewalk,White Cane,Building",Non-Expert,-0.0333333333333334,0.471186440677966
P6,14,video-16-segment-3,GPT4V,0.9,0.8888888888888888,,64.0,5,"Closed Sidewalk,Person with a disability,White Cane,Person,Car",Non-Expert,0.1666666666666666,0.6338983050847458
P6,15,video-6-segment-2,BLIP,0.2,0.7021276595744681,,68.0,4,"Railing,White Cane,Stairs,Person with a disability",Non-Expert,-0.5333333333333334,0.0644067796610168
P6,16,video-12-segment-4,GPT4V@Shadow,0.8,0.91156462585034,0.91156462585034,83.0,5,"Building,White Cane,Person,Person with a disability,Crosswalk",Non-Expert,0.0666666666666666,0.5525423728813559
P6,17,video-4-segment-3,GPV-1,0.8,0.8363636363636364,,125.0,4,"Sidewalk,Person with a disability,White Cane,Pole",Non-Expert,0.0666666666666666,0.5525423728813559
P6,18,video-3-segment-2,BLIP,0.7,0.7692307692307693,,58.0,3,"Car,Person with a disability,White Cane",Non-Expert,-0.0333333333333334,0.471186440677966
P6,19,video-7-segment-2,GPT4V,0.8,0.7764705882352942,,89.0,4,"Curb,Car,Person with a disability,White Cane",Non-Expert,0.0666666666666666,0.5525423728813559
P6,20,video-1-segment-4,GPT4V@Shadow,0.8,0.691358024691358,0.6938775510204082,132.0,4,"Gate,Person with a disability,White Cane,Railing",Non-Expert,0.0666666666666666,0.5525423728813559
P6,21,video-4-segment-3,GPT4V,0.5,0.676923076923077,,53.0,3,"White Cane,Person with a disability,Pole",Non-Expert,-0.2333333333333334,0.3084745762711863
P6,22,video-4-segment-1,Random,0.3,0.4788732394366197,,34.0,5,"Fence,White Cane,Pole,Wheelchair,Bus",Non-Expert,-0.4333333333333334,0.1457627118644066
P6,23,video-6-segment-2,Ground Truth,1.0,1.0,,40.0,4,"Person with a disability,White Cane,Railing,Stairs",Non-Expert,0.2666666666666666,0.7152542372881355
P6,24,video-3-segment-3,GPT4V@Shadow,0.7,0.7640449438202247,0.7647058823529411,65.0,4,"Person with a disability,White Cane,Sidewalk,Car",Non-Expert,-0.0333333333333334,0.471186440677966
P7,1,video-14-segment-1,GPV-1,0.8,0.7529411764705882,,132.0,5,"White Cane,Car,Bench,Bus Stop,Yard Waste",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,2,video-13-segment-2,Ground Truth,1.0,1.0,,72.0,5,"Traffic Signals,Pole,Building,Road Divider,Stop sign",Non-Expert,0.1583333333333332,0.6271186440677965
P7,3,video-4-segment-1,GPV-1@Shadow,0.8,0.5542168674698795,,194.0,5,"Fence,Pole,Person with a disability,Wall,Uncontrolled Crossing",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,4,video-3-segment-2,GPT4V@Shadow,0.7,0.48,,212.0,6,"Parallel Parking Spot,Fence,Wet surface,White Cane,Stop sign,Tactile Paving",Non-Expert,-0.1416666666666668,0.3830508474576269
P7,5,video-1-segment-5,Ground Truth,1.0,1.0,,34.0,6,"Road,Motorcycle,Car,Stairs,Wheelchair,Pole",Non-Expert,0.1583333333333332,0.6271186440677965
P7,6,video-11-segment-1,BLIP,0.9,0.6666666666666667,,56.0,5,"Roadside Parking,Lamp Post,White Cane,Person,Trash on roads",Non-Expert,0.0583333333333332,0.5457627118644067
