participant,trial,video,model left,score,F1-Base,F1-Shadow,timing,see_count,see,expertise,normalized_score_mc,normalized_score,frames,normalized_timing,normalized_timing_minmax
P1,18,video-3-segment-3,GPT4V@Shadow,1.0,0.9639,0.9639,103.0,4,"Curb,Tree,Car,Fence",Expert,0.08333333333333337,0.5661016949152543,16,-76.29166666666666,0.06726523973792049
P1,19,video-7-segment-2,BLIP@shadow,0.9,0.8148,0.8148,125.0,4,"Person with a disability,Car,Sidewalk,Pole",Expert,-0.016666666666666607,0.4847457627118645,16,-54.29166666666666,0.06751991063366748
P1,20,video-2-segment-1,BLIP@shadow,0.9,0.8411,0.8411,188.0,4,"Vegetation,Person,Building,Road",Expert,-0.016666666666666607,0.4847457627118645,16,8.708333333333343,0.06824919547148843
P1,21,video-13-segment-2,Random,0.8,0.6667,,156.0,4,"Person with a disability,Car,Road,Pole",Expert,-0.11666666666666659,0.40338983050847466,16,-23.291666666666657,0.06787876507767462
P1,22,video-3-segment-3,Ground Truth,1.0,1.0,,73.0,4,"Car,Person with a disability,Fence,Tree",Expert,0.08333333333333337,0.5661016949152543,16,-106.29166666666666,0.06691796124372004
P1,23,video-16-segment-3,GPT4V,1.0,0.9333,,113.0,4,"Curb,Person with a disability,Car,Person",Expert,0.08333333333333337,0.5661016949152543,12,-66.29166666666666,0.06738099923598731
P1,24,video-1-segment-5,GPV-1@Shadow,0.9,0.8537,0.8537,116.0,4,"Motorcycle,Person with a disability,Car,Bicycle",Expert,-0.016666666666666607,0.4847457627118645,14,-63.29166666666666,0.06741572708540736
P2,1,video-14-segment-4,BLIP@shadow,0.3,0.8172043011,0.82,343.0,5,"Vegetation,Fence,Person with a disability,Person,Building",Non-Expert,-0.21666666666666673,0.32203389830508466,12,160.95833333333334,0.0700116338295557
P2,2,video-4-segment-4,GPV-1,0.7,0.6438356164,,283.0,4,"Sloped Driveway,Person with a disability,Vegetation,White Cane",Non-Expert,0.18333333333333324,0.647457627118644,16,100.95833333333334,0.06931707684115482
P2,3,video-4-segment-3,GPT4V@Shadow,0.7,0.6326530612,0.6335403727,187.0,5,"Fence,Yard Waste,Pole,Pillar,Person with a disability",Non-Expert,0.18333333333333324,0.647457627118644,16,4.958333333333343,0.06820578565971337
P2,4,video-3-segment-2,BLIP,0.8,0.7126436782,,281.0,5,"Car,Road,Maintenance Vehicle,Fence,Person with a disability",Non-Expert,0.2833333333333333,0.728813559322034,12,98.95833333333334,0.06929392494154145
P2,5,video-16-segment-3,Ground Truth,0.9,1.0,,216.0,6,"White Cane,Car,Sign Post,Bus Stop,Closed Sidewalk,Mail box",Non-Expert,0.3833333333333333,0.8101694915254237,12,33.95833333333334,0.06854148820410715
P2,6,video-7-segment-2,Random,0.5,0.624,,456.0,6,"Road,Accent Paving,Sidewalk,Slopped Curb,White Cane,Car",Non-Expert,-0.01666666666666672,0.48474576271186437,16,273.95833333333337,0.07131971615771074
P2,7,video-1-segment-5,GPV-1@Shadow,0.3,0.7111111111,0.7102803738,302.0,5,"Car,White Cane,Uneven Stairs,Bicycle,Person with a disability",Non-Expert,-0.21666666666666673,0.32203389830508466,14,119.95833333333334,0.06953701988748176
P2,8,video-15-segment-3,BLIP,0.5,0.9448818898,,416.0,7,"Vegetation,Person,Car,Building,Bicycle,Motorcycle,Wet surface",Non-Expert,-0.01666666666666672,0.48474576271186437,15,233.95833333333334,0.07085667816544347
P2,9,video-4-segment-1,BLIP,0.8,0.737704918,,136.0,7,"Bus,Person,Trash on roads,Road Divider,Accent Paving,Bench,Fence",Non-Expert,0.2833333333333333,0.728813559322034,14,-46.04166666666666,0.06761541221957261
P2,10,video-11-segment-1,GPV-1,0.8,0.8630136986,,145.0,6,"Car,Road,Parallel Parking Spot,Unpaved Road,Bus,Trash bins",Non-Expert,0.2833333333333333,0.728813559322034,16,-37.04166666666666,0.06771959576783275
P2,11,video-3-segment-3,GPT4V,0.6,0.7976190476,,150.0,6,"Car,Barrier Post,Sidewalk,Person with a disability,Fence,Vegetation",Non-Expert,0.08333333333333326,0.5661016949152542,16,-32.04166666666666,0.06777747551686615
P2,12,video-4-segment-3,GPV-1@Shadow,0.5,0.6616541353,0.6625766871,113.0,5,"Pole,Person with a disability,Tactile Paving,Street Vendor,White Cane",Non-Expert,-0.01666666666666672,0.48474576271186437,16,-69.04166666666666,0.06734916537401893
P2,13,video-3-segment-2,GPT4V,0.2,0.5319148936,,107.0,7,"Puddle,Parallel Parking Spot,Wet surface,Car,Fence,Person with a disability,White Cane",Non-Expert,-0.3166666666666667,0.24067796610169487,12,-75.04166666666666,0.06727970967517885
P2,14,video-4-segment-1,GPT4V@Shadow,0.4,0.7741935484,0.7719298246,154.0,5,"Person with a disability,Road,Bench,Bus,Trash on roads",Non-Expert,-0.1166666666666667,0.40338983050847455,14,-28.041666666666657,0.06782377931609287
P2,15,video-1-segment-4,GPV-1,0.5,0.7407407407,,116.0,6,"Road,Tree,Bicycle,Person with a disability,White Cane,Gate",Non-Expert,-0.01666666666666672,0.48474576271186437,16,-66.04166666666666,0.06738389322343898
P2,16,video-1-segment-5,Random,0.7,0.5773195876,,103.0,6,"Bicycle,Car,Roadside Parking,Uneven Stairs,White Cane,Motorcycle",Non-Expert,0.18333333333333324,0.647457627118644,14,-79.04166666666666,0.06723340587595211
P2,17,video-14-segment-1,BLIP@shadow,0.4,0.8827586207,0.8843537415,98.0,6,"Tree,Vegetation,Tactile Paving,Person with a disability,Stairs,Car",Non-Expert,-0.1166666666666667,0.40338983050847455,15,-84.04166666666666,0.06717552612691871
P2,18,video-2-segment-1,Ground Truth,0.9,1.0,,114.0,5,"Person,Lamp Post,Bicycle,Vegetation,Car",Non-Expert,0.3833333333333333,0.8101694915254237,16,-68.04166666666666,0.06736074132382562
P2,19,video-14-segment-4,GPV-1@Shadow,0.2,0.8974358974,0.8941176471,57.0,4,"Person with a disability,Fence,Vegetation,Building",Non-Expert,-0.3166666666666667,0.24067796610169487,12,-125.04166666666666,0.06670091218484477
P2,20,video-11-segment-1,GPT4V@Shadow,0.2,0.7833333333,0.782122905,77.0,6,"Vegetation,Building,Motorcycle,Trash bins,Person with a disability,Bus",Non-Expert,-0.3166666666666667,0.24067796610169487,16,-105.04166666666666,0.0669324311809784
P2,21,video-6-segment-2,Random,0.3,0.6021505376,,214.0,4,"Person with a disability,White Cane,Tactile Paving,Stairs",Non-Expert,-0.21666666666666673,0.32203389830508466,16,31.958333333333343,0.06851833630449378
P2,22,video-13-segment-2,GPT4V,0.5,0.8977272727,,128.0,5,"Traffic Signals,Pole,Stop sign,Car,Person with a disability",Non-Expert,-0.01666666666666672,0.48474576271186437,16,-54.04166666666666,0.06752280462111916
P2,23,video-6-segment-2,BLIP@shadow,0.1,0.5142857143,0.5148514851,65.0,8,"Person with a disability,Retaining Wall,Pillar,White Cane,Stairs,Tactile Paving,Car,Bicycle",Non-Expert,-0.41666666666666674,0.159322033898305,16,-117.04166666666666,0.06679351978329821
P2,24,video-13-segment-2,Ground Truth,0.6,1.0,,108.0,5,"Building,Person with a disability,Traffic Signals,Car,Pedestrian Crossing",Non-Expert,0.08333333333333326,0.5661016949152542,16,-74.04166666666666,0.06729128562498553
P3,1,video-1-segment-5,BLIP@shadow,0.9,0.9791666667,0.98,552.0,4,"Person with a disability,Sidewalk,Bicycle,White Cane",Non-Expert,0.33333333333333326,0.7694915254237288,14,382.58333333333337,0.07257715370546153
P3,2,video-4-segment-4,GPT4V,0.4,0.7975460123,,492.0,4,"Slopped Curb,White Cane,Sidewalk,Person with a disability",Non-Expert,-0.16666666666666674,0.3627118644067796,16,322.58333333333337,0.07188259671706063
P3,3,video-3-segment-3,GPV-1@Shadow,0.4,0.6666666667,0.6666666667,402.0,4,"Gate,White Cane,Car,Sidewalk",Non-Expert,-0.16666666666666674,0.3627118644067796,16,232.58333333333334,0.07084076123445929
P3,4,video-7-segment-2,GPT4V@Shadow,0.4,0.8793103448,0.8760330579,410.0,4,"White Cane,Person with a disability,Sidewalk,Person",Non-Expert,-0.16666666666666674,0.3627118644067796,16,240.58333333333334,0.07093336883291274
P3,5,video-3-segment-3,BLIP,0.5,0.635193133,,166.0,4,"Fence,Sidewalk,Person with a disability,White Cane",Non-Expert,-0.06666666666666676,0.44406779661016943,16,-3.416666666666657,0.06810883708008242
P3,6,video-4-segment-3,Ground Truth,0.7,1.0,,135.0,4,"Person with a disability,Fence,White Cane,Pillar",Non-Expert,0.1333333333333332,0.606779661016949,16,-34.41666666666666,0.06774998263607529
P3,7,video-4-segment-1,GPV-1,0.5,0.7142857143,,257.0,4,"Bus,Fence,Person with a disability,White Cane",Non-Expert,-0.06666666666666676,0.44406779661016943,14,87.58333333333334,0.06916224851249045
P3,8,video-15-segment-3,GPT4V,1.0,0.9523809524,,104.0,4,"White Cane,Car,Closed Sidewalk,Person",Non-Expert,0.43333333333333324,0.8508474576271187,15,-65.41666666666666,0.06739112819206816
P3,9,video-14-segment-1,GPT4V,0.8,0.8,,114.0,4,"Vegetation,Roadside Parking,White Cane,Stairs",Non-Expert,0.23333333333333328,0.688135593220339,15,-55.41666666666666,0.06750688769013496
P3,10,video-14-segment-4,BLIP@shadow,0.7,0.8205128205,0.825,106.0,4,"Person,White Cane,Person with a disability,Building",Non-Expert,0.1333333333333332,0.606779661016949,12,-63.41666666666666,0.06741428009168152
P3,11,video-14-segment-1,Ground Truth,1.0,1.0,,104.0,4,"Roadside Parking,White Cane,Person with a disability,Stairs",Non-Expert,0.43333333333333324,0.8508474576271187,15,-65.41666666666666,0.06739112819206816
P3,12,video-12-segment-4,BLIP,0.8,0.9367088608,,82.0,4,"White Cane,Pedestrian Crossing,Person with a disability,Building",Non-Expert,0.23333333333333328,0.688135593220339,16,-87.41666666666666,0.06713645729632116
P3,13,video-1-segment-4,BLIP,0.7,0.7943262411,,98.0,4,"Gate,Person with a disability,White Cane,Bicycle",Non-Expert,0.1333333333333332,0.606779661016949,16,-71.41666666666666,0.06732167249322807
P3,14,video-2-segment-1,GPV-1,0.7,0.780952381,,118.0,4,"Vegetation,White Cane,Tree,Person with a disability",Non-Expert,0.1333333333333332,0.606779661016949,16,-51.41666666666666,0.0675531914893617
P3,15,video-4-segment-4,GPT4V@Shadow,0.3,0.6346153846,0.6354166667,107.0,4,"Person with a disability,White Cane,Slopped Curb,Tree",Non-Expert,-0.2666666666666668,0.2813559322033897,16,-62.41666666666666,0.0674258560414882
P3,16,video-4-segment-3,GPV-1@Shadow,0.5,0.8275862069,0.8266666667,71.0,4,"Fence,Person with a disability,Pole,White Cane",Non-Expert,-0.06666666666666676,0.44406779661016943,16,-98.41666666666666,0.06700912184844766
P3,17,video-15-segment-3,Random,0.1,0.4179104478,,72.0,4,"Person with a disability,Car,White Cane,Road",Non-Expert,-0.4666666666666668,0.11864406779661003,15,-97.41666666666666,0.06702069779825434
P3,18,video-1-segment-4,Random,0.1,0.3469387755,,123.0,4,"Bicycle,Person with a disability,Fence,White Cane",Non-Expert,-0.4666666666666668,0.11864406779661003,16,-46.41666666666666,0.0676110712383951
P3,19,video-6-segment-2,GPV-1,0.6,0.8524590164,,78.0,4,"Person with a disability,Stairs,Pillar,White Cane",Non-Expert,0.033333333333333215,0.5254237288135593,16,-91.41666666666666,0.06709015349709443
P3,20,video-7-segment-2,Random,0.4,0.7021276596,,90.0,4,"Building,Person with a disability,White Cane,Person",Non-Expert,-0.16666666666666674,0.3627118644067796,16,-79.41666666666666,0.0672290648947746
P3,21,video-11-segment-1,GPT4V@Shadow,0.3,0.5217391304,0.523364486,124.0,4,"Trash bins,White Cane,Person with a disability,Tree",Non-Expert,-0.2666666666666668,0.2813559322033897,16,-45.41666666666666,0.06762264718820178
P3,22,video-3-segment-2,Ground Truth,0.7,1.0,,61.0,4,"Car,Fence,Person with a disability,White Cane",Non-Expert,0.1333333333333332,0.606779661016949,12,-108.41666666666666,0.06689336235038085
P3,23,video-6-segment-2,BLIP@shadow,0.5,0.6095238095,0.6111111111,128.0,4,"White Cane,Pillar,Stairs,Person with a disability",Non-Expert,-0.06666666666666676,0.44406779661016943,16,-41.41666666666666,0.06766895098742852
P3,24,video-1-segment-5,GPV-1@Shadow,0.6,0.8936170213,0.8910891089,72.0,4,"Person with a disability,Bicycle,White Cane,Sidewalk",Non-Expert,0.033333333333333215,0.5254237288135593,14,-97.41666666666666,0.06702069779825434
P4,1,video-4-segment-4,Random,0.1,0.6666666667,,262.0,4,"Person,Road,White Cane,Sidewalk",Expert,-0.35,0.2135593220338983,16,99.54166666666666,0.06930067757892869
P4,2,video-1-segment-5,GPV-1,0.6,0.75,,202.0,6,"Stairs,Sidewalk,Car,Building,Crosswalk,Motorcycle",Expert,0.15000000000000002,0.6203389830508474,14,39.54166666666666,0.06860612059052779
P4,3,video-4-segment-1,GPT4V,0.8,0.7058823529,,286.0,5,"Trash on roads,Vegetation,Bus,Trash bins,Car",Expert,0.3500000000000001,0.7830508474576272,14,123.54166666666666,0.06957850037428905
P4,4,video-4-segment-3,Ground Truth,1.0,1.0,,217.0,5,"Person with a disability,Vegetation,Mail box,White Cane,Pole",Expert,0.55,0.945762711864407,16,54.54166666666666,0.06877975983762802
P4,5,video-6-segment-2,GPV-1@Shadow,0.0,0.8734177215,0.8727272727,163.0,5,"Pillar,Person with a disability,Stairs,Accent Paving,Railing",Expert,-0.44999999999999996,0.13220338983050847,16,0.5416666666666572,0.06815465854806721
P4,6,video-15-segment-3,BLIP@shadow,0.6,0.9677419355,0.9696969697,335.0,5,"Bicycle,Wall,Vegetation,Car,Tree",Expert,0.15000000000000002,0.6203389830508474,15,172.54166666666666,0.07014572191481645
P4,7,video-7-segment-2,Random,0.1,0.6101694915,,244.0,6,"White Cane,Accent Paving,Car,Road,Person,Vegetation",Expert,-0.35,0.2135593220338983,16,81.54166666666666,0.06909231048240842
P4,8,video-14-segment-4,GPT4V,0.7,0.7837837838,,248.0,5,"Bench,Fence,Building,Person with a disability,Vegetation",Expert,0.25,0.7016949152542373,12,85.54166666666666,0.06913861428163515
P4,9,video-3-segment-2,GPV-1,0.1,0.8705882353,,107.0,4,"Person with a disability,Car,Sidewalk,Fence",Expert,-0.35,0.2135593220338983,12,-55.45833333333334,0.06750640535889303
P4,10,video-11-segment-1,GPT4V@Shadow,0.8,0.9801324503,0.9803921569,135.0,5,"Road,Trash bins,Person,Car,Push button",Expert,0.3500000000000001,0.7830508474576272,16,-27.458333333333343,0.06783053195348011
P4,11,video-15-segment-3,BLIP,0.3,0.9448818898,,191.0,6,"Car,Bicycle,Person with a disability,Vegetation,Tree,Road",Expert,-0.14999999999999997,0.376271186440678,15,28.541666666666657,0.06847878514265429
P4,12,video-2-segment-1,BLIP@shadow,0.6,0.8435013263,0.8441247002,185.0,6,"Person,Crosswalk,Building,Vegetation,Car,Tree",Expert,0.15000000000000002,0.6203389830508474,16,22.541666666666657,0.0684093294438142
P4,13,video-3-segment-2,BLIP@shadow,0.1,0.8316831683,0.8349514563,150.0,5,"Car,Person with a disability,Fence,Sidewalk,Road",Expert,-0.35,0.2135593220338983,12,-12.458333333333343,0.06800417120058035
P4,14,video-11-segment-1,BLIP,0.8,0.9839572193,,147.0,6,"Building,Bus,Car,Trash bins,Road,Person",Expert,0.3500000000000001,0.7830508474576272,16,-15.458333333333343,0.0679694433511603
P4,15,video-1-segment-4,Ground Truth,0.9,1.0,,145.0,6,"Gate,Person with a disability,Car,Bicycle,Building,Vegetation",Expert,0.45000000000000007,0.8644067796610171,16,-17.458333333333343,0.06794629145154693
P4,16,video-1-segment-5,Random,0.0,0.5853658537,,82.0,5,"Car,Stairs,Barrier Post,Motorcycle,Person with a disability",Expert,-0.44999999999999996,0.13220338983050847,14,-80.45833333333334,0.067217006613726
P4,17,video-4-segment-3,Ground Truth,0.9,1.0,,78.0,6,"Person with a disability,Sidewalk,Pole,Fence,Vegetation,White Cane",Expert,0.45000000000000007,0.8644067796610171,16,-84.45833333333334,0.06717070281449927
P4,18,video-12-segment-4,GPV-1@Shadow,0.0,0.8266666667,0.8278688525,80.0,6,"Building,Fence,Crosswalk,Person,Car,Tree",Expert,-0.44999999999999996,0.13220338983050847,16,-82.45833333333334,0.06719385471411263
P4,19,video-6-segment-2,GPV-1@Shadow,0.0,0.8441558442,0.8466257669,65.0,5,"Person with a disability,Stairs,Railing,White Cane,Pillar",Expert,-0.44999999999999996,0.13220338983050847,16,-97.45833333333334,0.06702021546701241
P4,20,video-16-segment-3,GPV-1,0.9,0.9387755102,,121.0,5,"Pole,Car,Building,Sign,Bicycle",Expert,0.45000000000000007,0.8644067796610171,12,-41.45833333333334,0.06766846865618657
P4,21,video-13-segment-2,BLIP,0.7,0.8609865471,,130.0,5,"White Cane,Person with a disability,Traffic Signals,Car,Pole",Expert,0.25,0.7016949152542373,16,-32.45833333333334,0.06777265220444671
P4,22,video-12-segment-4,GPT4V@Shadow,0.2,0.8638497653,0.8650793651,169.0,6,"Car,Crosswalk,Tree,Fence,Person,Mail box",Expert,-0.24999999999999994,0.29491525423728815,16,6.541666666666657,0.06822411424690729
P4,23,video-3-segment-3,GPT4V,0.6,0.9198606272,,94.0,5,"Person,Tree,Car,Vegetation,Fence",Expert,0.15000000000000002,0.6203389830508474,16,-68.45833333333334,0.06735591801140617
P4,24,video-4-segment-1,GPT4V@Shadow,0.0,0.8316831683,0.8345323741,63.0,6,"Trash on roads,Fence,Car,Bus,Person with a disability,White Cane",Expert,-0.44999999999999996,0.13220338983050847,14,-99.45833333333334,0.06699706356739904
P5,1,video-2-segment-1,GPV-1@Shadow,0.2,0.6896551724137931,0.6883116883116883,269.0,9,"Pillar,Tactile Paving,Bicycle,Pole,Elevator,Dog,Person,Sidewalk,Tree",Expert,-0.4124999999999999,0.16271186440677968,16,133.79166666666666,0.06969715385980753
P5,2,video-12-segment-4,GPV-1@Shadow,0.8,0.896551724137931,0.896551724137931,209.0,5,"Person,Building,Sidewalk,Person with a disability,Car",Expert,0.1875000000000001,0.6508474576271187,16,73.79166666666666,0.06900259687140664
P5,3,video-11-segment-1,Random,0.0,0.4666666666666667,,99.0,8,"Road,White Cane,Bus Stop,Roadside Parking,Counter,Chair,Person,Bus",Expert,-0.6124999999999999,0.0,16,-36.20833333333334,0.06772924239267165
P5,4,video-3-segment-2,GPV-1@Shadow,0.4,0.6956521739130435,0.6966292134831461,319.0,6,"Vegetation,Puddle,Car,Mail box,Snow,Person with a disability",Expert,-0.2124999999999999,0.32542372881355935,12,183.79166666666666,0.07027595135014161
P5,5,video-6-segment-2,GPT4V@Shadow,0.4,0.6041666666666666,0.6037735849056605,127.0,7,"Raised Entryway,White Cane,Person with a disability,Building,Driveway(flat),Train Platform,Stairs",Expert,-0.2124999999999999,0.32542372881355935,16,-8.208333333333343,0.06805336898725874
P5,6,video-1-segment-5,GPV-1,0.8,0.7387387387387387,,112.0,6,"Curb,Bicycle,Car,Barrier Post,Raised Entryway,Road Divider",Expert,0.1875000000000001,0.6508474576271187,14,-23.208333333333343,0.06787972974015852
P5,7,video-13-segment-2,GPT4V,0.9,0.8910891089108911,,76.0,7,"Slopped Curb,Person,Person with a disability,Traffic Signals,Escalator,Water Pipes,Car",Expert,0.2875000000000001,0.7322033898305086,16,-59.20833333333334,0.06746299554711797
P5,8,video-16-segment-3,GPT4V,1.0,0.6837606837606837,,143.0,9,"Bicycle,Gate,Sign,Roadside Parking,Bus,Wet surface,Person,Closed Sidewalk,Building",Expert,0.38750000000000007,0.8135593220338984,12,7.791666666666657,0.06823858418416565
P5,9,video-3-segment-3,GPT4V@Shadow,0.8,0.7560975609756097,0.7575757575757575,122.0,7,"Stairs,Curb,Trash on roads,Car,Uncontrolled Crossing,Push button,Person with a disability",Expert,0.1875000000000001,0.6508474576271187,16,-13.208333333333343,0.06799548923822533
P5,10,video-4-segment-3,BLIP,0.8,0.900763358778626,,114.0,6,"Fence,Person,Curb,Sidewalk,Turnstile,Maintenance Vehicle",Expert,0.1875000000000001,0.6508474576271187,16,-21.208333333333343,0.06790288163977187
P5,11,video-11-segment-1,BLIP@Shadow,0.4,0.7771428571428571,0.7777777777777778,367.0,8,"Push button,Gutter,Building,Curb,Snow,Road Divider,Person,Trash bins",Expert,-0.2124999999999999,0.32542372881355935,16,231.79166666666666,0.07083159694086233
P5,12,video-14-segment-1,GPV-1,0.7,0.7236842105263157,,187.0,8,"Vegetation,Person with a disability,Building,Stairs,Barrier Stump,Chair,Railing,Car",Expert,0.08750000000000002,0.5694915254237288,15,51.79166666666666,0.06874792597565964
P5,13,video-14-segment-4,BLIP@Shadow,0.6,0.5918367346938775,0.5925925925925926,109.0,8,"Slopped Curb,White Cane,Building,Elevator,Trash bins,Barrier Post,Person,Bridge",Expert,-0.012499999999999956,0.488135593220339,12,-26.208333333333343,0.06784500189073847
P5,14,video-12-segment-4,Random,0.0,0.5217391304347826,,45.0,8,"Sign,Parallel Parking Spot,Car,Mail box,Road Divider,Push button,Person,Road",Expert,-0.6124999999999999,0.0,16,-90.20833333333334,0.06710414110311085
P5,15,video-4-segment-4,BLIP@Shadow,0.5,0.4444444444444445,0.4444444444444445,113.0,8,"Bus Stop,Railing,Sign,Bus,Barrier Post,Accent Paving,Sidewalk,White Cane",Expert,-0.11249999999999993,0.4067796610169492,16,-22.208333333333343,0.0678913056899652
P5,16,video-15-segment-3,Ground Truth,0.9,1.0,,110.0,8,"Car,Person with a disability,Puddle,Accent Paving,Water leakage,Fountain,Person,Building",Expert,0.2875000000000001,0.7322033898305086,15,-25.208333333333343,0.06785657784054515
P5,17,video-4-segment-1,GPT4V@Shadow,0.9,0.8301886792452831,0.8363636363636363,78.0,7,"Railing,Person,Bus Stop,Paratransit vehicle,Barrier Post,Road Shoulder,Bus",Expert,0.2875000000000001,0.7322033898305086,14,-57.20833333333334,0.06748614744673134
P5,18,video-1-segment-4,BLIP,0.6,0.7486033519553073,,124.0,9,"Gate,Lamp Post,Railing,Road Shoulder,Wheelchair,Chair,Person,Building,Road",Expert,-0.012499999999999956,0.488135593220339,16,-11.208333333333343,0.06801864113783869
P5,19,video-15-segment-3,GPV-1,0.6,0.7310344827586206,,105.0,8,"Slopped Curb,Gate,Sloped Driveway,Tree,Train Platform,Wheelchair,Person,Car",Expert,-0.012499999999999956,0.488135593220339,15,-30.208333333333343,0.06779869809151175
P5,20,video-4-segment-4,Ground Truth,0.9,1.0,,71.0,8,"Road,Curb,Lamp Post,Person with a disability,Table,Turnstile,Building,White Cane",Expert,0.2875000000000001,0.7322033898305086,16,-64.20833333333334,0.06740511579808457
P5,21,video-14-segment-1,GPT4V,0.6,0.8311688311688312,,146.0,9,"Bench,Sidewalk,Stairs,Building,Pillar,Pedestrian Crossing,Person,Car,Vegetation",Expert,-0.012499999999999956,0.488135593220339,15,10.791666666666657,0.06827331203358569
P5,22,video-6-segment-2,Ground Truth,0.9,1.0,,85.0,8,"Retaining Wall,Railing,Road,Building,Uneven Stairs,Fire hydrant,Person,White Cane",Expert,0.2875000000000001,0.7322033898305086,16,-50.20833333333334,0.06756717909537811
P5,23,video-4-segment-3,Random,0.1,0.567741935483871,,56.0,8,"Vegetation,Sidewalk,Pole,White Cane,Accent Paving,Escalator,Person,Road",Expert,-0.5125,0.08135593220338982,16,-79.20833333333334,0.06723147655098434
P5,24,video-7-segment-2,BLIP,0.9,0.7166666666666668,,59.0,8,"White Cane,Person with a disability,Parallel Parking Spot,Sign,Street Vendor,Bridge,Building,Person",Expert,0.2875000000000001,0.7322033898305086,16,-76.20833333333334,0.06726620440040439
P6,1,video-4-segment-1,BLIP,0.7,0.8461538461538461,,367.0,6,"Person,White Cane,Bus,Person with a disability,Trash bins,Bench",Non-Expert,-0.03333333333333344,0.471186440677966,14,236.16666666666666,0.07088224172126657
P6,2,video-14-segment-4,GPV-1@Shadow,0.8,0.7777777777777777,0.7755102040816326,307.0,5,"Person,Person with a disability,White Cane,Building,Railing",Non-Expert,0.06666666666666665,0.5525423728813559,12,176.16666666666666,0.07018768473286567
P6,3,video-1-segment-4,BLIP@Shadow,0.9,0.7862068965517242,0.7848101265822784,92.0,6,"Pillar,Person,Bicycle,White Cane,Person with a disability,Gate",Non-Expert,0.16666666666666663,0.6338983050847458,16,-38.83333333333334,0.06769885552442911
